sample_accession,run_accession,tax_id,scientific_name,instrument_model,library_layout,nominal_length,read_count,fastq_ftp,sra_ftp
SAMN03327018,SRR1946174,3702,Arabidopsis thaliana,Illumina HiSeq 2000,PAIRED,,19903719,ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/004/SRR1946174/SRR1946174_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/004/SRR1946174/SRR1946174_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR194/004/SRR1946174
SAMN09449559,SRR7601143,3708,Brassica napus,HiSeq X Ten,PAIRED,,22285402,ftp.sra.ebi.ac.uk/vol1/fastq/SRR760/003/SRR7601143/SRR7601143_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR760/003/SRR7601143/SRR7601143_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR760/003/SRR7601143
SAMN11998195,SRR9620522,2592630,Isoetes elatior,Illumina HiSeq 2500,PAIRED,,29897480,ftp.sra.ebi.ac.uk/vol1/fastq/SRR962/002/SRR9620522/SRR9620522_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR962/002/SRR9620522/SRR9620522_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR962/002/SRR9620522
SAMN05216721,SRR4290567,9940,Ovis aries,NextSeq 500,PAIRED,,31523295,ftp.sra.ebi.ac.uk/vol1/fastq/SRR429/007/SRR4290567/SRR4290567_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR429/007/SRR4290567/SRR4290567_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR429/007/SRR4290567
SAMN03964715,SRR2153179,36596,Prunus armeniaca,Illumina HiSeq 2500,PAIRED,,34735108,ftp.sra.ebi.ac.uk/vol1/fastq/SRR215/009/SRR2153179/SRR2153179_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR215/009/SRR2153179/SRR2153179_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR215/009/SRR2153179
SAMEA103924627,ERR2434225,5833,Plasmodium falciparum,HiSeq X Ten,PAIRED,431.0,33872374,ftp.sra.ebi.ac.uk/vol1/fastq/ERR243/005/ERR2434225/ERR2434225_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR243/005/ERR2434225/ERR2434225_2.fastq.gz;,
SAMEA2055156,ERR319960,10090,Mus musculus,Illumina HiSeq 2000,PAIRED,495.0,17830230,ftp.sra.ebi.ac.uk/vol1/fastq/ERR319/ERR319960/ERR319960_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR319/ERR319960/ERR319960_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/err/ERR319/ERR319960
SAMEA103943404,ERR2366482,5833,Plasmodium falciparum,HiSeq X Ten,PAIRED,466.0,18012662,ftp.sra.ebi.ac.uk/vol1/fastq/ERR236/002/ERR2366482/ERR2366482_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR236/002/ERR2366482/ERR2366482_2.fastq.gz;,
SAMEA3904490,ERR1333401,4513,Hordeum vulgare,Illumina HiSeq 2000,PAIRED,350.0,16280203,ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/001/ERR1333401/ERR1333401_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/001/ERR1333401/ERR1333401_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/err/ERR133/001/ERR1333401
SAMEA5057155,ERR2894074,5833,Plasmodium falciparum,HiSeq X Ten,PAIRED,464.0,21761020,ftp.sra.ebi.ac.uk/vol1/fastq/ERR289/004/ERR2894074/ERR2894074_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR289/004/ERR2894074/ERR2894074_2.fastq.gz;,
SAMEA5234419,ERR3282222,7165,Anopheles gambiae,HiSeq X Ten,PAIRED,411.0,24755870,ftp.sra.ebi.ac.uk/vol1/fastq/ERR328/002/ERR3282222/ERR3282222_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR328/002/ERR3282222/ERR3282222_2.fastq.gz;,
SAMN04009823,SRR2189720,3702,Arabidopsis thaliana,Illumina HiSeq 2000,PAIRED,500.0,17556433,ftp.sra.ebi.ac.uk/vol1/fastq/SRR218/000/SRR2189720/SRR2189720_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR218/000/SRR2189720/SRR2189720_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR218/000/SRR2189720
SAMEA2055310,ERR495429,7165,Anopheles gambiae,Illumina HiSeq 2000,PAIRED,236.0,32350020,ftp.sra.ebi.ac.uk/vol1/fastq/ERR495/ERR495429/ERR495429_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR495/ERR495429/ERR495429_2.fastq.gz;,
SAMN09217869,SRR7182007,4932,Saccharomyces cerevisiae,Illumina HiSeq 2500,PAIRED,,12539492,ftp.sra.ebi.ac.uk/vol1/fastq/SRR718/007/SRR7182007/SRR7182007_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR718/007/SRR7182007/SRR7182007_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR718/007/SRR7182007
SAMN00001650,SRR003632,9606,Homo sapiens,Illumina Genome Analyzer,SINGLE,,11528470,ftp.sra.ebi.ac.uk/vol1/fastq/SRR003/SRR003632/SRR003632.fastq.gz,ftp.sra.ebi.ac.uk/vol1/srr/SRR003/SRR003632
SAMEA3176950,ERR706000,7227,Drosophila melanogaster,Illumina HiSeq 2000,PAIRED,500.0,22150945,ftp.sra.ebi.ac.uk/vol1/fastq/ERR706/ERR706000/ERR706000_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR706/ERR706000/ERR706000_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/err/ERR706/ERR706000
SAMEA5043828,ERR3723169,5833,Plasmodium falciparum,HiSeq X Ten,PAIRED,449.0,19954016,ftp.sra.ebi.ac.uk/vol1/fastq/ERR372/009/ERR3723169/ERR3723169_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR372/009/ERR3723169/ERR3723169_2.fastq.gz;,
SAMEA103957252,ERR2632076,502567,Streptococcus porci,Illumina HiSeq 2500,PAIRED,437.0,11023848,ftp.sra.ebi.ac.uk/vol1/fastq/ERR263/006/ERR2632076/ERR2632076_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR263/006/ERR2632076/ERR2632076_2.fastq.gz;,
SAMN03104184,SRR2480892,9606,Homo sapiens,Illumina HiSeq 2000,PAIRED,,25663349,ftp.sra.ebi.ac.uk/vol1/fastq/SRR248/002/SRR2480892/SRR2480892_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR248/002/SRR2480892/SRR2480892_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR248/002/SRR2480892
SAMN00007786,SRR063286,9606,Homo sapiens,Illumina Genome Analyzer II,PAIRED,400.0,27336336,ftp.sra.ebi.ac.uk/vol1/fastq/SRR063/SRR063286/SRR063286_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR063/SRR063286/SRR063286_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR063/SRR063286
SAMN00001673,SRR006780,9606,Homo sapiens,Illumina Genome Analyzer,SINGLE,,12999597,ftp.sra.ebi.ac.uk/vol1/fastq/SRR006/SRR006780/SRR006780.fastq.gz,ftp.sra.ebi.ac.uk/vol1/srr/SRR006/SRR006780
SAMN11059654,SRR8698613,65128,Paramecium sexaurelia,Illumina HiSeq 2000,PAIRED,,10402259,ftp.sra.ebi.ac.uk/vol1/fastq/SRR869/003/SRR8698613/SRR8698613_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR869/003/SRR8698613/SRR8698613_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR869/003/SRR8698613
SAMN09449559,SRR7631386,3708,Brassica napus,HiSeq X Ten,PAIRED,,28615777,ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/006/SRR7631386/SRR7631386_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/006/SRR7631386/SRR7631386_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR763/006/SRR7631386
SAMEA5066050,ERR2890970,5833,Plasmodium falciparum,HiSeq X Ten,PAIRED,539.0,24039678,ftp.sra.ebi.ac.uk/vol1/fastq/ERR289/000/ERR2890970/ERR2890970_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR289/000/ERR2890970/ERR2890970_2.fastq.gz;,
SAMEA1523620,ERR407506,69293,Gasterosteus aculeatus,Illumina HiSeq 2000,PAIRED,300.0,25169983,ftp.sra.ebi.ac.uk/vol1/fastq/ERR407/ERR407506/ERR407506_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR407/ERR407506/ERR407506_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/err/ERR407/ERR407506
SAMEA1902986,ERR298866,9606,Homo sapiens,Illumina HiSeq 2000,PAIRED,493.0,21198553,ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/ERR298866/ERR298866_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/ERR298866/ERR298866_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/err/ERR298/ERR298866
SAMN05505444,SRR4018201,4113,Solanum tuberosum,Illumina HiSeq 2500,PAIRED,,39253813,ftp.sra.ebi.ac.uk/vol1/fastq/SRR401/001/SRR4018201/SRR4018201_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR401/001/SRR4018201/SRR4018201_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR401/001/SRR4018201
SAMN11790949,SRR9097678,85929,Sphaerulina musiva,Illumina HiSeq 3000,PAIRED,,17176722,ftp.sra.ebi.ac.uk/vol1/fastq/SRR909/008/SRR9097678/SRR9097678_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR909/008/SRR9097678/SRR9097678_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR909/008/SRR9097678
SAMEA5417995,ERR3723084,5833,Plasmodium falciparum,HiSeq X Ten,PAIRED,527.0,21125468,ftp.sra.ebi.ac.uk/vol1/fastq/ERR372/004/ERR3723084/ERR3723084_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR372/004/ERR3723084/ERR3723084_2.fastq.gz;,
SAMEA1094868,ERR055590,7165,Anopheles gambiae,Illumina HiSeq 2000,PAIRED,252.0,14617124,ftp.sra.ebi.ac.uk/vol1/fastq/ERR055/ERR055590/ERR055590_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR055/ERR055590/ERR055590_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/err/ERR055/ERR055590
SAMEA104359139,ERR2977584,6289,Haemonchus contortus,Illumina HiSeq 4000,PAIRED,462.0,27163250,ftp.sra.ebi.ac.uk/vol1/fastq/ERR297/004/ERR2977584/ERR2977584_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR297/004/ERR2977584/ERR2977584_2.fastq.gz;,
SAMN11490377,SRR8954542,76208,Luehdorfia japonica,NextSeq 550,PAIRED,,41408044,ftp.sra.ebi.ac.uk/vol1/fastq/SRR895/002/SRR8954542/SRR8954542_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR895/002/SRR8954542/SRR8954542_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR895/002/SRR8954542
SAMEA5417640,ERR3985663,5833,Plasmodium falciparum,HiSeq X Ten,PAIRED,520.0,20642316,ftp.sra.ebi.ac.uk/vol1/fastq/ERR398/003/ERR3985663/ERR3985663_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR398/003/ERR3985663/ERR3985663_2.fastq.gz;,
SAMN02617836,SRR1164615,3847,Glycine max,Illumina HiSeq 2000,PAIRED,,24566581,ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/005/SRR1164615/SRR1164615_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/005/SRR1164615/SRR1164615_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR116/005/SRR1164615
SAMEA4709253,ERR2738254,1070528,viral metagenome,Illumina HiSeq 2500,PAIRED,350.0,12149636,ftp.sra.ebi.ac.uk/vol1/fastq/ERR273/004/ERR2738254/ERR2738254_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR273/004/ERR2738254/ERR2738254_2.fastq.gz;,
SAMEA104598357,ERR2656482,7165,Anopheles gambiae,HiSeq X Ten,PAIRED,344.0,32846566,ftp.sra.ebi.ac.uk/vol1/fastq/ERR265/002/ERR2656482/ERR2656482_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR265/002/ERR2656482/ERR2656482_2.fastq.gz;,
SAMN11293743,SRR8933905,3885,Phaseolus vulgaris,HiSeq X Ten,PAIRED,,16067928,ftp.sra.ebi.ac.uk/vol1/fastq/SRR893/005/SRR8933905/SRR8933905_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR893/005/SRR8933905/SRR8933905_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR893/005/SRR8933905
SAMEA5234385,ERR3289982,7165,Anopheles gambiae,HiSeq X Ten,PAIRED,407.0,24854530,ftp.sra.ebi.ac.uk/vol1/fastq/ERR328/002/ERR3289982/ERR3289982_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR328/002/ERR3289982/ERR3289982_2.fastq.gz;,
SAMEA5580688,ERR3457281,5833,Plasmodium falciparum,HiSeq X Ten,PAIRED,520.0,48711248,ftp.sra.ebi.ac.uk/vol1/fastq/ERR345/001/ERR3457281/ERR3457281_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR345/001/ERR3457281/ERR3457281_2.fastq.gz;,
SAMEA6086903,ERR3608650,5833,Plasmodium falciparum,HiSeq X Ten,PAIRED,468.0,33079290,ftp.sra.ebi.ac.uk/vol1/fastq/ERR360/000/ERR3608650/ERR3608650_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR360/000/ERR3608650/ERR3608650_2.fastq.gz;,
SAMEA4695033,ERR2690704,6239,Caenorhabditis elegans,HiSeq X Ten,PAIRED,390.0,26129710,ftp.sra.ebi.ac.uk/vol1/fastq/ERR269/004/ERR2690704/ERR2690704_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR269/004/ERR2690704/ERR2690704_2.fastq.gz;,
SAMEA5055210,ERR2864406,7240,Drosophila simulans,Illumina HiSeq 2500,PAIRED,500.0,25230892,ftp.sra.ebi.ac.uk/vol1/fastq/ERR286/006/ERR2864406/ERR2864406_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR286/006/ERR2864406/ERR2864406_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/err/ERR286/006/ERR2864406
SAMN13877001,SRR10908121,410658,soil metagenome,Illumina HiSeq 2000,PAIRED,,36709917,ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/021/SRR10908121/SRR10908121_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/021/SRR10908121/SRR10908121_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR109/021/SRR10908121
SAMEA2056092,ERR320285,9606,Homo sapiens,Illumina HiSeq 2000,PAIRED,473.0,24156989,ftp.sra.ebi.ac.uk/vol1/fastq/ERR320/ERR320285/ERR320285_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR320/ERR320285/ERR320285_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/err/ERR320/ERR320285
SAMEA2072954,ERR275265,7227,Drosophila melanogaster,Illumina HiSeq 2000,PAIRED,300.0,24973397,ftp.sra.ebi.ac.uk/vol1/fastq/ERR275/ERR275265/ERR275265_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR275/ERR275265/ERR275265_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/err/ERR275/ERR275265
SAMN06266724,SRR5880632,38727,Panicum virgatum,Illumina HiSeq 2500,PAIRED,,42342115,ftp.sra.ebi.ac.uk/vol1/fastq/SRR588/002/SRR5880632/SRR5880632_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR588/002/SRR5880632/SRR5880632_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR588/002/SRR5880632
SAMEA4386198,ERR2532796,7165,Anopheles gambiae,HiSeq X Ten,PAIRED,451.0,12543744,ftp.sra.ebi.ac.uk/vol1/fastq/ERR253/006/ERR2532796/ERR2532796_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR253/006/ERR2532796/ERR2532796_2.fastq.gz;,
SAMEA3662011,ERR1681130,4932,Saccharomyces cerevisiae,HiSeq X Ten,PAIRED,464.0,10434472,ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/000/ERR1681130/ERR1681130_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/000/ERR1681130/ERR1681130_2.fastq.gz;,
SAMEA103924844,ERR2434315,5833,Plasmodium falciparum,HiSeq X Ten,PAIRED,448.0,31103916,ftp.sra.ebi.ac.uk/vol1/fastq/ERR243/005/ERR2434315/ERR2434315_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR243/005/ERR2434315/ERR2434315_2.fastq.gz;,
SAMN08382843,SRR6504903,408170,human gut metagenome,HiSeq X Ten,PAIRED,,43629207,ftp.sra.ebi.ac.uk/vol1/fastq/SRR650/003/SRR6504903/SRR6504903_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR650/003/SRR6504903/SRR6504903_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR650/003/SRR6504903
SAMN05216040,SRR4005057,9913,Bos taurus,NextSeq 550,PAIRED,,11295951,ftp.sra.ebi.ac.uk/vol1/fastq/SRR400/007/SRR4005057/SRR4005057_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR400/007/SRR4005057/SRR4005057_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR400/007/SRR4005057
SAMN11893878,SRR9330406,2585879,Katreus holocausta,HiSeq X Ten,PAIRED,,33807138,ftp.sra.ebi.ac.uk/vol1/fastq/SRR933/006/SRR9330406/SRR9330406_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR933/006/SRR9330406/SRR9330406_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR933/006/SRR9330406
SAMN00014324,ERR032003,9606,Homo sapiens,Illumina HiSeq 2000,PAIRED,239.0,47983717,ftp.sra.ebi.ac.uk/vol1/fastq/ERR032/ERR032003/ERR032003_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR032/ERR032003/ERR032003_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/err/ERR032/ERR032003
SAMEA3916797,ERR1620605,7165,Anopheles gambiae,HiSeq X Ten,PAIRED,415.0,21361202,ftp.sra.ebi.ac.uk/vol1/fastq/ERR162/005/ERR1620605/ERR1620605_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR162/005/ERR1620605/ERR1620605_2.fastq.gz;,
SAMEA5233606,ERR3337115,7165,Anopheles gambiae,HiSeq X Ten,PAIRED,404.0,24232648,ftp.sra.ebi.ac.uk/vol1/fastq/ERR333/005/ERR3337115/ERR3337115_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR333/005/ERR3337115/ERR3337115_2.fastq.gz;,
SAMEA5057207,ERR2894086,5833,Plasmodium falciparum,HiSeq X Ten,PAIRED,463.0,21718610,ftp.sra.ebi.ac.uk/vol1/fastq/ERR289/006/ERR2894086/ERR2894086_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR289/006/ERR2894086/ERR2894086_2.fastq.gz;,
SAMN03956636,SRR2171626,3847,Glycine max,Illumina HiSeq 2000,PAIRED,,48301796,ftp.sra.ebi.ac.uk/vol1/fastq/SRR217/006/SRR2171626/SRR2171626_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR217/006/SRR2171626/SRR2171626_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR217/006/SRR2171626
SAMN02869066,SRR3228252,373101,Picea engelmannii x Picea glauca,Illumina HiSeq 2000,PAIRED,,17128958,ftp.sra.ebi.ac.uk/vol1/fastq/SRR322/002/SRR3228252/SRR3228252_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR322/002/SRR3228252/SRR3228252_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR322/002/SRR3228252
SAMEA3904490,ERR1333373,4513,Hordeum vulgare,Illumina HiSeq 2000,PAIRED,350.0,24328285,ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/003/ERR1333373/ERR1333373_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/003/ERR1333373/ERR1333373_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/err/ERR133/003/ERR1333373
