sample_accession,run_accession,tax_id,scientific_name,instrument_model,library_layout,read_count,fastq_ftp,sra_ftp
SAMN02738118,SRR1393307,1313,Streptococcus pneumoniae,Illumina HiSeq 2500,PAIRED,4096899,ftp.sra.ebi.ac.uk/vol1/fastq/SRR139/007/SRR1393307/SRR1393307_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR139/007/SRR1393307/SRR1393307_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR139/007/SRR1393307
SAMN02383530,SRR1103634,1409745,Staphylococcus aureus DAR1199,Illumina HiSeq 2000,PAIRED,8937428,ftp.sra.ebi.ac.uk/vol1/fastq/SRR110/004/SRR1103634/SRR1103634_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR110/004/SRR1103634/SRR1103634_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR110/004/SRR1103634
SAMN09225617,SRR7184421,1639,Listeria monocytogenes,Illumina HiSeq 2500,PAIRED,1872736,ftp.sra.ebi.ac.uk/vol1/fastq/SRR718/001/SRR7184421/SRR7184421_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR718/001/SRR7184421/SRR7184421_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR718/001/SRR7184421
SAMEA3724454,ERR1202007,562,Escherichia coli,Illumina MiSeq,PAIRED,3031445,ftp.sra.ebi.ac.uk/vol1/fastq/ERR120/007/ERR1202007/ERR1202007_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR120/007/ERR1202007/ERR1202007_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/err/ERR120/007/ERR1202007
SAMN08765762,SRR6873711,624,Shigella sonnei,Illumina MiSeq,PAIRED,958828,ftp.sra.ebi.ac.uk/vol1/fastq/SRR687/001/SRR6873711/SRR6873711_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR687/001/SRR6873711/SRR6873711_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR687/001/SRR6873711
SAMN09429252,SRR7346712,28901,Salmonella enterica,Illumina MiSeq,PAIRED,671058,ftp.sra.ebi.ac.uk/vol1/fastq/SRR734/002/SRR7346712/SRR7346712_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR734/002/SRR7346712/SRR7346712_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR734/002/SRR7346712
SAMN02182603,SRR942758,1027716,Mammuthus columbi,Illumina HiSeq 1000,PAIRED,26304817,ftp.sra.ebi.ac.uk/vol1/fastq/SRR942/SRR942758/SRR942758_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR942/SRR942758/SRR942758_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR942/SRR942758
SAMN13191694,SRR10392531,28901,Salmonella enterica,Illumina MiSeq,PAIRED,750478,ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/031/SRR10392531/SRR10392531_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/031/SRR10392531/SRR10392531_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR103/031/SRR10392531
SAMEA5066416,ERR2891230,5833,Plasmodium falciparum,HiSeq X Ten,PAIRED,29856500,ftp.sra.ebi.ac.uk/vol1/fastq/ERR289/000/ERR2891230/ERR2891230_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR289/000/ERR2891230/ERR2891230_2.fastq.gz;,
SAMN12906400,SRR10224867,623,Shigella flexneri,Illumina MiSeq,PAIRED,817960,ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/067/SRR10224867/SRR10224867_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/067/SRR10224867/SRR10224867_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR102/067/SRR10224867
SAMEA70661668,ERR1815152,197,Campylobacter jejuni,Illumina MiSeq,PAIRED,175206,ftp.sra.ebi.ac.uk/vol1/fastq/ERR181/002/ERR1815152/ERR1815152_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR181/002/ERR1815152/ERR1815152_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/err/ERR181/002/ERR1815152
SAMEA5534360,ERR3251840,4577,Zea mays,Illumina HiSeq 2000,PAIRED,3480074,ftp.sra.ebi.ac.uk/vol1/fastq/ERR325/000/ERR3251840/ERR3251840_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR325/000/ERR3251840/ERR3251840_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/err/ERR325/000/ERR3251840
SAMN08125517,SRR6347434,1639,Listeria monocytogenes,Illumina MiSeq,PAIRED,966529,ftp.sra.ebi.ac.uk/vol1/fastq/SRR634/004/SRR6347434/SRR6347434_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR634/004/SRR6347434/SRR6347434_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR634/004/SRR6347434
SAMN10086731,SRR7873744,1639,Listeria monocytogenes,Illumina HiSeq 2500,PAIRED,2042728,ftp.sra.ebi.ac.uk/vol1/fastq/SRR787/004/SRR7873744/SRR7873744_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR787/004/SRR7873744/SRR7873744_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR787/004/SRR7873744
SAMEA2047670,ERR477190,487,Neisseria meningitidis,Illumina HiSeq 2000,PAIRED,4240544,ftp.sra.ebi.ac.uk/vol1/fastq/ERR477/ERR477190/ERR477190_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR477/ERR477190/ERR477190_2.fastq.gz;,
SAMEA2205242,ERR439591,562,Escherichia coli,Illumina HiSeq 2000,PAIRED,4154564,ftp.sra.ebi.ac.uk/vol1/fastq/ERR439/ERR439591/ERR439591_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR439/ERR439591/ERR439591_2.fastq.gz;,
SAMN00001695,ERR1257012,9606,Homo sapiens,Illumina HiSeq 2000,PAIRED,768143,ftp.sra.ebi.ac.uk/vol1/fastq/ERR125/002/ERR1257012/ERR1257012_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR125/002/ERR1257012/ERR1257012_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/err/ERR125/002/ERR1257012
SAMN12585389,SRR9974390,197,Campylobacter jejuni,Illumina HiSeq 2500,PAIRED,1555185,ftp.sra.ebi.ac.uk/vol1/fastq/SRR997/000/SRR9974390/SRR9974390_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR997/000/SRR9974390/SRR9974390_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR997/000/SRR9974390
SAMN09741916,SRR7624185,115981,Salmonella enterica subsp. enterica serovar Montevideo,Illumina MiSeq,PAIRED,2632181,ftp.sra.ebi.ac.uk/vol1/fastq/SRR762/005/SRR7624185/SRR7624185_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR762/005/SRR7624185/SRR7624185_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR762/005/SRR7624185
SAMN08051520,SRR6313970,195,Campylobacter coli,Illumina MiSeq,PAIRED,280777,ftp.sra.ebi.ac.uk/vol1/fastq/SRR631/000/SRR6313970/SRR6313970_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR631/000/SRR6313970/SRR6313970_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR631/000/SRR6313970
SAMEA1068802,ERR3872890,5833,Plasmodium falciparum,Illumina MiSeq,PAIRED,52750,ftp.sra.ebi.ac.uk/vol1/fastq/ERR387/000/ERR3872890/ERR3872890_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR387/000/ERR3872890/ERR3872890_2.fastq.gz;,
SAMN12662859,SRR10049838,197,Campylobacter jejuni,Illumina HiSeq 2500,PAIRED,1468783,ftp.sra.ebi.ac.uk/vol1/fastq/SRR100/038/SRR10049838/SRR10049838_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR100/038/SRR10049838/SRR10049838_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR100/038/SRR10049838
SAMN02325626,SRR1019651,1388502,Staphylococcus aureus M0625,Illumina HiSeq 2000,PAIRED,1596808,ftp.sra.ebi.ac.uk/vol1/fastq/SRR101/001/SRR1019651/SRR1019651_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR101/001/SRR1019651/SRR1019651_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR101/001/SRR1019651
SAMN07539744,SRR5985548,562,Escherichia coli,Illumina MiSeq,PAIRED,826991,ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/008/SRR5985548/SRR5985548_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/008/SRR5985548/SRR5985548_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR598/008/SRR5985548
SAMN07741297,SRR6163491,128735,Rosa hybrid cultivar,Illumina HiSeq 2500,SINGLE,3244621,ftp.sra.ebi.ac.uk/vol1/fastq/SRR616/001/SRR6163491/SRR6163491.fastq.gz,ftp.sra.ebi.ac.uk/vol1/srr/SRR616/001/SRR6163491
SAMN06055525,SRR5073911,1773,Mycobacterium tuberculosis,Illumina HiSeq 2500,PAIRED,1587202,ftp.sra.ebi.ac.uk/vol1/fastq/SRR507/001/SRR5073911/SRR5073911_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR507/001/SRR5073911/SRR5073911_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR507/001/SRR5073911
SAMN09652726,SRR7517922,4932,Saccharomyces cerevisiae,Illumina MiSeq,PAIRED,602729,ftp.sra.ebi.ac.uk/vol1/fastq/SRR751/002/SRR7517922/SRR7517922_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR751/002/SRR7517922/SRR7517922_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR751/002/SRR7517922
SAMN11176494,SRR8768424,4932,Saccharomyces cerevisiae,Illumina HiSeq 4000,PAIRED,6434566,ftp.sra.ebi.ac.uk/vol1/fastq/SRR876/004/SRR8768424/SRR8768424_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR876/004/SRR8768424/SRR8768424_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR876/004/SRR8768424
SAMN11616204,SRR9038496,244447,Cynoglossus semilaevis,Illumina HiSeq 2000,PAIRED,3473441,ftp.sra.ebi.ac.uk/vol1/fastq/SRR903/006/SRR9038496/SRR9038496_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR903/006/SRR9038496/SRR9038496_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR903/006/SRR9038496
SAMEA104034447,ERR2650716,90371,Salmonella enterica subsp. enterica serovar Typhimurium,HiSeq X Ten,PAIRED,7264,ftp.sra.ebi.ac.uk/vol1/fastq/ERR265/006/ERR2650716/ERR2650716_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR265/006/ERR2650716/ERR2650716_2.fastq.gz;,
SAMN03469113,SRR1960380,224729,Salmonella enterica subsp. enterica serovar Java,Illumina HiSeq 2500,PAIRED,1629653,ftp.sra.ebi.ac.uk/vol1/fastq/SRR196/000/SRR1960380/SRR1960380_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR196/000/SRR1960380/SRR1960380_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR196/000/SRR1960380
SAMEA2713429,ERR584058,652611,Pseudomonas aeruginosa PA14,Illumina HiSeq 2500,PAIRED,2642004,ftp.sra.ebi.ac.uk/vol1/fastq/ERR584/ERR584058/ERR584058_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR584/ERR584058/ERR584058_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/err/ERR584/ERR584058
SAMN00001695,ERR1260326,9606,Homo sapiens,Illumina HiSeq 2000,PAIRED,1062661,ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/006/ERR1260326/ERR1260326_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/006/ERR1260326/ERR1260326_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/err/ERR126/006/ERR1260326
SAMN05953073,SRR4995417,64187,Xanthomonas oryzae pv. oryzae,Illumina HiSeq 2500,PAIRED,1627343,ftp.sra.ebi.ac.uk/vol1/fastq/SRR499/007/SRR4995417/SRR4995417_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR499/007/SRR4995417/SRR4995417_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR499/007/SRR4995417
SAMN06123587,SRR5095982,61476,Timema cristinae,Illumina HiSeq 2000,SINGLE,656239,ftp.sra.ebi.ac.uk/vol1/fastq/SRR509/002/SRR5095982/SRR5095982.fastq.gz,ftp.sra.ebi.ac.uk/vol1/srr/SRR509/002/SRR5095982
SAMN10913382,SRR8559846,485,Neisseria gonorrhoeae,NextSeq 500,PAIRED,695294,ftp.sra.ebi.ac.uk/vol1/fastq/SRR855/006/SRR8559846/SRR8559846_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR855/006/SRR8559846/SRR8559846_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR855/006/SRR8559846
SAMEA5045687,ERR2894498,5833,Plasmodium falciparum,HiSeq X Ten,PAIRED,18150678,ftp.sra.ebi.ac.uk/vol1/fastq/ERR289/008/ERR2894498/ERR2894498_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR289/008/ERR2894498/ERR2894498_2.fastq.gz;,
SAMN00013191,SRR1003487,1394151,Flavobacteriaceae bacterium ORNL_1OR_Ab54_110,Illumina HiSeq 2000,PAIRED,2413231,ftp.sra.ebi.ac.uk/vol1/fastq/SRR100/007/SRR1003487/SRR1003487_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR100/007/SRR1003487/SRR1003487_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR100/007/SRR1003487
SAMEA4728967,ERR3875280,5833,Plasmodium falciparum,Illumina MiSeq,PAIRED,53238,ftp.sra.ebi.ac.uk/vol1/fastq/ERR387/000/ERR3875280/ERR3875280_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR387/000/ERR3875280/ERR3875280_2.fastq.gz;,
SAMN09651766,SRR7516442,1773,Mycobacterium tuberculosis,Illumina HiSeq 2500,PAIRED,1573412,ftp.sra.ebi.ac.uk/vol1/fastq/SRR751/002/SRR7516442/SRR7516442_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR751/002/SRR7516442/SRR7516442_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR751/002/SRR7516442
SAMEA2610784,ERR666931,5833,Plasmodium falciparum,Illumina HiSeq 2000,PAIRED,37236104,ftp.sra.ebi.ac.uk/vol1/fastq/ERR666/ERR666931/ERR666931_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR666/ERR666931/ERR666931_2.fastq.gz;,
SAMN13198866,SRR10357490,28901,Salmonella enterica,Illumina MiSeq,PAIRED,347958,ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/090/SRR10357490/SRR10357490_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/090/SRR10357490/SRR10357490_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR103/090/SRR10357490
SAMN00744358,SRR361195,72004,Bos mutus,Illumina Genome Analyzer,PAIRED,33832453,ftp.sra.ebi.ac.uk/vol1/fastq/SRR361/SRR361195/SRR361195_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR361/SRR361195/SRR361195_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR361/SRR361195.sra
SAMN11096734,SRR8705835,28901,Salmonella enterica,Illumina MiSeq,PAIRED,1849771,ftp.sra.ebi.ac.uk/vol1/fastq/SRR870/005/SRR8705835/SRR8705835_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR870/005/SRR8705835/SRR8705835_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR870/005/SRR8705835
SAMN02404090,SRR1328322,1422507,Staphylococcus aureus VET0210R,Illumina HiSeq 2000,PAIRED,1136,ftp.sra.ebi.ac.uk/vol1/fastq/SRR132/002/SRR1328322/SRR1328322_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR132/002/SRR1328322/SRR1328322_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR132/002/SRR1328322
SAMEA95477668,ERR1873429,1773,Mycobacterium tuberculosis,Illumina HiSeq 2000,PAIRED,3555717,ftp.sra.ebi.ac.uk/vol1/fastq/ERR187/009/ERR1873429/ERR1873429_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR187/009/ERR1873429/ERR1873429_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/err/ERR187/009/ERR1873429
SAMN03200169,SRR1664627,498019,[Candida] auris,Illumina HiSeq 2500,PAIRED,19180342,ftp.sra.ebi.ac.uk/vol1/fastq/SRR166/007/SRR1664627/SRR1664627_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR166/007/SRR1664627/SRR1664627_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR166/007/SRR1664627
SAMN13476139,SRR10589201,749906,gut metagenome,Illumina NovaSeq 6000,PAIRED,202961,ftp.sra.ebi.ac.uk/vol1/fastq/SRR105/001/SRR10589201/SRR10589201_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR105/001/SRR10589201/SRR10589201_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR105/001/SRR10589201
SAMEA1570248,ERR193427,7165,Anopheles gambiae,Illumina HiSeq 2000,PAIRED,15098676,ftp.sra.ebi.ac.uk/vol1/fastq/ERR193/ERR193427/ERR193427_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR193/ERR193427/ERR193427_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/err/ERR193/ERR193427
SAMN02472490,SRR1157511,1439978,Staphylococcus aureus Sa_TPS3169,Illumina HiSeq 2000,PAIRED,1965671,ftp.sra.ebi.ac.uk/vol1/fastq/SRR115/001/SRR1157511/SRR1157511_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR115/001/SRR1157511/SRR1157511_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR115/001/SRR1157511
SAMN05196030,SRR3627102,4555,Setaria italica,Illumina HiSeq 2000,PAIRED,13218137,ftp.sra.ebi.ac.uk/vol1/fastq/SRR362/002/SRR3627102/SRR3627102_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR362/002/SRR3627102/SRR3627102_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR362/002/SRR3627102
SAMEA4851356,ERR2976977,7165,Anopheles gambiae,HiSeq X Ten,PAIRED,26157896,ftp.sra.ebi.ac.uk/vol1/fastq/ERR297/007/ERR2976977/ERR2976977_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR297/007/ERR2976977/ERR2976977_2.fastq.gz;,
SAMEA5751871,ERR3449524,573,Klebsiella pneumoniae,HiSeq X Ten,PAIRED,4290508,ftp.sra.ebi.ac.uk/vol1/fastq/ERR344/004/ERR3449524/ERR3449524_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR344/004/ERR3449524/ERR3449524_2.fastq.gz;,
SAMN03463160,SRR1954935,10090,Mus musculus,Illumina HiSeq 2000,PAIRED,26755177,ftp.sra.ebi.ac.uk/vol1/fastq/SRR195/005/SRR1954935/SRR1954935_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR195/005/SRR1954935/SRR1954935_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR195/005/SRR1954935
SAMN03647775,SRR2100602,1773,Mycobacterium tuberculosis,Illumina HiSeq 2500,PAIRED,1349273,ftp.sra.ebi.ac.uk/vol1/fastq/SRR210/002/SRR2100602/SRR2100602_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR210/002/SRR2100602/SRR2100602_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR210/002/SRR2100602
SAMN06055582,SRR5073908,1773,Mycobacterium tuberculosis,Illumina HiSeq 2500,PAIRED,1245085,ftp.sra.ebi.ac.uk/vol1/fastq/SRR507/008/SRR5073908/SRR5073908_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR507/008/SRR5073908/SRR5073908_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR507/008/SRR5073908
SAMEA3481466,ERR957517,486,Neisseria lactamica,Illumina HiSeq 2500,PAIRED,1988136,ftp.sra.ebi.ac.uk/vol1/fastq/ERR957/ERR957517/ERR957517_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR957/ERR957517/ERR957517_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/err/ERR957/ERR957517
SAMEA5690033,ERR3357303,42858,Staphylococcus lentus,Illumina HiSeq 2500,PAIRED,420526,ftp.sra.ebi.ac.uk/vol1/fastq/ERR335/003/ERR3357303/ERR3357303_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR335/003/ERR3357303/ERR3357303_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/err/ERR335/003/ERR3357303
SAMEA4699319,ERR2603583,562,Escherichia coli,Illumina MiSeq,PAIRED,1446346,ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/003/ERR2603583/ERR2603583_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/003/ERR2603583/ERR2603583_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/err/ERR260/003/ERR2603583
SAMN00006579,ERR1484198,9606,Homo sapiens,Illumina HiSeq 2000,PAIRED,260658,ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/008/ERR1484198/ERR1484198_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/008/ERR1484198/ERR1484198_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/err/ERR148/008/ERR1484198
